date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:12	8271/8271	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2018:33:13%20GMT	https://business-starter-template.webflow.io/	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/index.html	(from )
12:33:12	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2021%20Feb%202020%2018:33:13%20GMT	https://business-starter-template.webflow.io/robots.txt		(from )
12:33:12	76967/76967	---M-Z	200	added ('OK')	text/css	etag:%229167bfe3b327dd9663a88676243f450d%22	https://assets.website-files.com/5c6eb5400253230156de2bd6/css/business-starter-template.webflow.d0b16c944.css	D:/My%20Web%20Sites/SG/assets.website-files.com/5c6eb5400253230156de2bd6/css/business-starter-template.webflow.d0b16c944.css	(from https://business-starter-template.webflow.io/)
12:33:13	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/My%20Web%20Sites/SG/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://business-starter-template.webflow.io/)
12:33:13	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets.website-files.com/img/webclip.png	D:/My%20Web%20Sites/SG/assets.website-files.com/img/webclip.png	(from https://business-starter-template.webflow.io/)
12:33:13	2878/2878	---M--	200	added ('OK')	image/png	etag:%225b1911c9f01c411aa277734acab639b6%22	https://assets.website-files.com/5c6eb5400253230156de2bd6/5c6eb8fd2f27afe12894fa4b_business-logo%402x.png	D:/My%20Web%20Sites/SG/assets.website-files.com/5c6eb5400253230156de2bd6/5c6eb8fd2f27afe12894fa4b_business-logo@2x.png	(from https://business-starter-template.webflow.io/)
12:33:13	8016/8016	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2018:33:15%20GMT	https://business-starter-template.webflow.io/about	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/about.html	(from https://business-starter-template.webflow.io/)
12:33:14	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2021%20Feb%202020%2018:33:15%20GMT	https://business-starter-template.webflow.io/projects	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/projects	(from https://business-starter-template.webflow.io/)
12:33:14	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2021%20Feb%202020%2018:33:15%20GMT	https://business-starter-template.webflow.io/team	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/team	(from https://business-starter-template.webflow.io/)
12:33:14	8250/8250	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2018:33:16%20GMT	https://business-starter-template.webflow.io/blog	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/blog.html	(from https://business-starter-template.webflow.io/)
12:33:14	8167/8167	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2018:33:16%20GMT	https://business-starter-template.webflow.io/contact	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/contact.html	(from https://business-starter-template.webflow.io/)
12:33:15	178/178	---M--	200	added ('OK')	image/png	etag:%22cdf6e2f4f30b47cd9e1f7068bec9de18%22	https://assets.website-files.com/5c6eb5400253230156de2bd6/5c6eb8fd2f27af658094fa4a_menu-icon.png	D:/My%20Web%20Sites/SG/assets.website-files.com/5c6eb5400253230156de2bd6/5c6eb8fd2f27af658094fa4a_menu-icon.png	(from https://business-starter-template.webflow.io/)
12:33:15	6987/6987	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2018:33:16%20GMT	https://business-starter-template.webflow.io/post/10-quick-tips-about-blogging	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/post/10-quick-tips-about-blogging.html	(from https://business-starter-template.webflow.io/)
12:33:15	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2021%20Feb%202020%2018:33:16%20GMT	https://business-starter-template.webflow.io/post/15-best-blogs-to-follow-about-web-design	D:/My%20Web%20Sites/SG/business-starter-template.webflow.io/post/15-best-blogs-to-follow-about-web-design	(from https://business-starter-template.webflow.io/)
